12838KMLB MLB20241201172510112/01/24 17:25:31  5-MIN KMLB 012225Z 35012KT 10SM CLR 16/07 A3013 -150 55 0 360/12 RMK AO2 T01610072
12838KMLB MLB20241201173010112/01/24 17:30:31  5-MIN KMLB 012230Z 35010KT 10SM CLR 16/07 A3012 -150 57 0 350/10 RMK AO2 T01560072
12838KMLB MLB20241201173510112/01/24 17:35:31  5-MIN KMLB 012235Z 35013KT 10SM CLR 16/07 A3013 -150 57 0 360/13 RMK AO2 T01560072
12838KMLB MLB20241201174010712/01/24 17:40:31  5-MIN KMLB 012240Z 34009G18KT 10SM CLR 16/07 A3013 -150 57 0 350/09G18 RMK AO2 T01560072
12838KMLB MLB20241201174511012/01/24 17:45:31  5-MIN KMLB 012245Z 34011G18KT 10SM CLR 15/07 A3013 -150 59 -100 350/11G18 RMK AO2 T01500072
12838KMLB MLB20241201175010812/01/24 17:50:31  5-MIN KMLB 012250Z 34010KT 10SM CLR 16/07 A3013 -150 57 0 350/10 RMK AO2 SLP203 T01560072
12838KMLB MLB20241201175510412/01/24 17:55:31  5-MIN KMLB 012255Z 35010KT 10SM CLR 15/07 A3014 -160 59 -100 350/10 RMK AO2 T01500072
12838KMLB MLB20241201180010412/01/24 18:00:31  5-MIN KMLB 012300Z 34010KT 10SM CLR 15/07 A3013 -160 59 -100 350/10 RMK AO2 T01500072
12838KMLB MLB20241201180510412/01/24 18:05:31  5-MIN KMLB 012305Z 34011KT 10SM CLR 15/07 A3013 -150 59 -100 350/11 RMK AO2 T01500072
12838KMLB MLB20241201181010412/01/24 18:10:31  5-MIN KMLB 012310Z 35010KT 10SM CLR 15/07 A3014 -160 59 -100 350/10 RMK AO2 T01500072
12838KMLB MLB20241201181510412/01/24 18:15:31  5-MIN KMLB 012315Z 35013KT 10SM CLR 15/07 A3014 -160 57 -100 360/13 RMK AO2 T01500067
12838KMLB MLB20241201182010412/01/24 18:20:31  5-MIN KMLB 012320Z 35014KT 10SM CLR 15/07 A3013 -160 57 -100 350/14 RMK AO2 T01500067
12838KMLB MLB20241201182510412/01/24 18:25:31  5-MIN KMLB 012325Z 35012KT 10SM CLR 15/07 A3014 -160 57 -100 360/12 RMK AO2 T01500067
12838KMLB MLB20241201183011012/01/24 18:30:31  5-MIN KMLB 012330Z 35012G20KT 10SM CLR 15/07 A3014 -160 57 -100 360/12G20 RMK AO2 T01500067
12838KMLB MLB20241201183510412/01/24 18:35:31  5-MIN KMLB 012335Z 35011KT 10SM CLR 15/07 A3014 -160 57 -100 350/11 RMK AO2 T01500067
12838KMLB MLB20241201184010412/01/24 18:40:31  5-MIN KMLB 012340Z 35010KT 10SM CLR 14/07 A3014 -160 59 -200 350/10 RMK AO2 T01440067
12838KMLB MLB20241201184510412/01/24 18:45:31  5-MIN KMLB 012345Z 34010KT 10SM CLR 14/07 A3014 -170 59 -200 350/10 RMK AO2 T01440067
12838KMLB MLB20241201185012912/01/24 18:50:31  5-MIN KMLB 012350Z 34009KT 10SM CLR 14/07 A3015 -170 59 -200 350/09 RMK AO2 SLP208 T01440067 10211 20144 56003
12838KMLB MLB20241201185510412/01/24 18:55:31  5-MIN KMLB 012355Z 35009KT 10SM CLR 14/07 A3015 -170 59 -200 350/09 RMK AO2 T01440067
12838KMLB MLB20241201190010412/01/24 19:00:31  5-MIN KMLB 020000Z 34008KT 10SM CLR 14/07 A3015 -170 59 -200 350/08 RMK AO2 T01440067
12838KMLB MLB20241201190510412/01/24 19:05:31  5-MIN KMLB 020005Z 34010KT 10SM CLR 14/07 A3015 -170 61 -200 340/10 RMK AO2 T01440072
12838KMLB MLB20241201191010412/01/24 19:10:31  5-MIN KMLB 020010Z 34008KT 10SM CLR 14/07 A3015 -180 64 -300 340/08 RMK AO2 T01390072
12838KMLB MLB20241201191510412/01/24 19:15:31  5-MIN KMLB 020015Z 34008KT 10SM CLR 14/07 A3016 -180 64 -300 350/08 RMK AO2 T01390072
12838KMLB MLB20241201192010412/01/24 19:20:31  5-MIN KMLB 020020Z 34009KT 10SM CLR 14/07 A3016 -180 64 -300 350/09 RMK AO2 T01390072
12838KMLB MLB20241201192510412/01/24 19:25:31  5-MIN KMLB 020025Z 34008KT 10SM CLR 14/07 A3016 -180 64 -300 350/08 RMK AO2 T01390072
